Date_reported, Country_code, Country, WHO_region, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths
2020-01-11,CN,China,WPRO,41,41,1,1
2020-01-12,CN,China,WPRO,0,41,0,1
2020-01-13,CN,China,WPRO,0,41,0,1
2020-01-14,CN,China,WPRO,0,41,0,1
2020-01-15,CN,China,WPRO,0,41,0,1
2020-01-16,CN,China,WPRO,0,41,0,1
2020-01-17,CN,China,WPRO,4,45,1,2
2020-01-18,CN,China,WPRO,17,62,0,2
2020-01-19,CN,China,WPRO,59,121,1,3
2020-01-20,CN,China,WPRO,77,198,1,4
2020-01-21,CN,China,WPRO,93,291,2,6
2020-01-22,CN,China,WPRO,152,443,3,9
2020-01-23,CN,China,WPRO,131,574,8,17
2020-01-24,CN,China,WPRO,261,835,8,25
2020-01-25,CN,China,WPRO,462,1297,16,41
2020-01-26,CN,China,WPRO,688,1985,15,56
2020-01-27,CN,China,WPRO,776,2761,24,80
2020-01-28,CN,China,WPRO,1772,4533,26,106
2020-01-29,CN,China,WPRO,1462,5995,26,132
2020-01-30,CN,China,WPRO,1741,7736,38,170
2020-01-31,CN,China,WPRO,1984,9720,43,213
2020-02-01,CN,China,WPRO,2101,11821,46,259
2020-02-02,CN,China,WPRO,2590,14411,45,304
2020-02-03,CN,China,WPRO,2827,17238,57,361
2020-02-04,CN,China,WPRO,3233,20471,64,425
2020-02-05,CN,China,WPRO,3892,24363,66,491
2020-02-06,CN,China,WPRO,3697,28060,73,564
2020-02-07,CN,China,WPRO,3151,31211,73,637
2020-02-08,CN,China,WPRO,3387,34598,86,723
2020-02-09,CN,China,WPRO,2653,37251,89,812
2020-02-10,CN,China,WPRO,2985,40236,97,909
2020-02-11,CN,China,WPRO,2472,42708,108,1017
2020-02-12,CN,China,WPRO,2022,44730,97,1114
2020-02-13,CN,China,WPRO,15152,59882,254,1368
2020-02-14,CN,China,WPRO,4050,63932,13,1381
2020-02-15,CN,China,WPRO,2644,66576,143,1524
2020-02-16,CN,China,WPRO,2008,68584,142,1666
2020-02-17,CN,China,WPRO,2051,70635,106,1772
2020-02-18,CN,China,WPRO,1893,72528,98,1870
2020-02-19,CN,China,WPRO,1751,74279,136,2006
2020-02-20,CN,China,WPRO,396,74675,115,2121
2020-02-21,CN,China,WPRO,892,75567,118,2239
2020-02-22,CN,China,WPRO,825,76392,109,2348
2020-02-23,CN,China,WPRO,649,77041,97,2445
2020-02-24,CN,China,WPRO,221,77262,150,2595
2020-02-25,CN,China,WPRO,517,77779,71,2666
2020-02-26,CN,China,WPRO,411,78190,52,2718
2020-02-27,CN,China,WPRO,440,78630,29,2747
2020-02-28,CN,China,WPRO,329,78959,44,2791
2020-02-29,CN,China,WPRO,430,79389,47,2838
2020-03-01,CN,China,WPRO,579,79968,35,2873
2020-03-02,CN,China,WPRO,206,80174,42,2915
2020-03-03,CN,China,WPRO,128,80302,31,2946
2020-03-04,CN,China,WPRO,120,80422,38,2984
2020-03-05,CN,China,WPRO,143,80565,31,3015
2020-03-06,CN,China,WPRO,146,80711,30,3045
2020-03-07,CN,China,WPRO,102,80813,28,3073
2020-03-08,CN,China,WPRO,46,80859,27,3100
2020-03-09,CN,China,WPRO,45,80904,23,3123
2020-03-10,CN,China,WPRO,20,80924,17,3140
2020-03-11,CN,China,WPRO,31,80955,22,3162
2020-03-12,CN,China,WPRO,26,80981,11,3173
2020-03-13,CN,China,WPRO,10,80991,7,3180
2020-03-14,CN,China,WPRO,30,81021,14,3194
2020-03-15,CN,China,WPRO,27,81048,10,3204
2020-03-16,CN,China,WPRO,29,81077,14,3218
2020-03-17,CN,China,WPRO,39,81116,13,3231
2020-03-18,CN,China,WPRO,58,81174,11,3242
2020-03-19,CN,China,WPRO,126,81300,11,3253
2020-03-20,CN,China,WPRO,116,81416,8,3261
2020-03-21,CN,China,WPRO,82,81498,6,3267
2020-03-22,CN,China,WPRO,1,81499,0,3267
2020-03-23,CN,China,WPRO,104,81603,9,3276
2020-03-24,CN,China,WPRO,164,81767,7,3283
2020-03-25,CN,China,WPRO,102,81869,4,3287
2020-03-26,CN,China,WPRO,92,81961,6,3293
2020-03-27,CN,China,WPRO,132,82093,5,3298
2020-03-28,CN,China,WPRO,120,82213,3,3301
2020-03-29,CN,China,WPRO,128,82341,5,3306
2020-03-30,CN,China,WPRO,114,82455,4,3310
2020-03-31,CN,China,WPRO,90,82545,4,3314
2020-04-01,CN,China,WPRO,93,82638,7,3321
2020-04-02,CN,China,WPRO,86,82724,6,3327
2020-04-03,CN,China,WPRO,78,82802,4,3331
2020-04-04,CN,China,WPRO,73,82875,4,3335
2020-04-05,CN,China,WPRO,55,82930,3,3338
2020-04-06,CN,China,WPRO,75,83005,2,3340
2020-04-07,CN,China,WPRO,66,83071,0,3340
2020-04-08,CN,China,WPRO,90,83161,2,3342
2020-04-09,CN,China,WPRO,88,83249,2,3344
2020-04-10,CN,China,WPRO,56,83305,1,3345
2020-04-11,CN,China,WPRO,78,83383,4,3349
2020-04-12,CN,China,WPRO,102,83485,0,3349
2020-04-13,CN,China,WPRO,112,83597,2,3351
2020-04-14,CN,China,WPRO,99,83696,0,3351
2020-04-15,CN,China,WPRO,51,83747,1,3352
2020-04-16,CN,China,WPRO,50,83797,0,3352
2020-04-17,CN,China,WPRO,352,84149,1290,4642
2020-04-18,CN,China,WPRO,31,84180,0,4642
2020-04-19,CN,China,WPRO,43,84223,0,4642
2020-04-20,CN,China,WPRO,16,84239,0,4642
2020-04-21,CN,China,WPRO,14,84253,0,4642
2020-04-22,CN,China,WPRO,35,84288,0,4642
2020-04-23,CN,China,WPRO,15,84303,0,4642
2020-04-24,CN,China,WPRO,9,84312,0,4642
2020-04-25,CN,China,WPRO,12,84324,0,4642
2020-04-26,CN,China,WPRO,14,84338,0,4642
2020-04-27,CN,China,WPRO,3,84341,1,4643
2020-04-28,CN,China,WPRO,6,84347,0,4643
2020-04-29,CN,China,WPRO,22,84369,0,4643
2020-04-30,CN,China,WPRO,4,84373,0,4643
2020-05-01,CN,China,WPRO,12,84385,0,4643
2020-05-02,CN,China,WPRO,6,84391,0,4643
2020-05-03,CN,China,WPRO,2,84393,0,4643
2020-05-04,CN,China,WPRO,8,84401,0,4643
2020-05-05,CN,China,WPRO,3,84404,0,4643
2020-05-06,CN,China,WPRO,2,84406,0,4643
2020-05-07,CN,China,WPRO,3,84409,0,4643
2020-05-08,CN,China,WPRO,6,84415,0,4643
2020-05-09,CN,China,WPRO,1,84416,0,4643
2020-05-10,CN,China,WPRO,14,84430,0,4643
2020-05-11,CN,China,WPRO,20,84450,0,4643
2020-05-12,CN,China,WPRO,1,84451,1,4644
2020-05-13,CN,China,WPRO,7,84458,0,4644
2020-05-14,CN,China,WPRO,6,84464,0,4644
