Date_reported, Country_code, Country, WHO_region, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths
2020-01-04,CN,China,WPRO,1,1,0,0
2020-01-05,CN,China,WPRO,0,1,0,0
2020-01-06,CN,China,WPRO,3,4,0,0
2020-01-07,CN,China,WPRO,0,4,0,0
2020-01-08,CN,China,WPRO,0,4,0,0
2020-01-09,CN,China,WPRO,0,4,0,0
2020-01-10,CN,China,WPRO,0,4,0,0
2020-01-11,CN,China,WPRO,41,45,1,1
2020-01-12,CN,China,WPRO,0,45,0,1
2020-01-13,CN,China,WPRO,0,45,0,1
2020-01-14,CN,China,WPRO,0,45,0,1
2020-01-15,CN,China,WPRO,0,45,0,1
2020-01-16,CN,China,WPRO,0,45,0,1
2020-01-17,CN,China,WPRO,4,49,1,2
2020-01-18,CN,China,WPRO,17,66,0,2
2020-01-19,CN,China,WPRO,59,125,1,3
2020-01-20,CN,China,WPRO,77,202,1,4
2020-01-21,CN,China,WPRO,93,295,2,6
2020-01-22,CN,China,WPRO,152,447,3,9
2020-01-23,CN,China,WPRO,131,578,8,17
2020-01-24,CN,China,WPRO,261,839,8,25
2020-01-25,CN,China,WPRO,462,1301,16,41
2020-01-26,CN,China,WPRO,688,1989,15,56
2020-01-27,CN,China,WPRO,776,2765,24,80
2020-01-28,CN,China,WPRO,1772,4537,26,106
2020-01-29,CN,China,WPRO,1462,5999,26,132
2020-01-30,CN,China,WPRO,1741,7740,38,170
2020-01-31,CN,China,WPRO,1984,9724,43,213
2020-02-01,CN,China,WPRO,2101,11825,46,259
2020-02-02,CN,China,WPRO,2590,14415,45,304
2020-02-03,CN,China,WPRO,2827,17242,57,361
2020-02-04,CN,China,WPRO,3233,20475,64,425
2020-02-05,CN,China,WPRO,3892,24367,66,491
2020-02-06,CN,China,WPRO,3697,28064,73,564
2020-02-07,CN,China,WPRO,3151,31215,73,637
2020-02-08,CN,China,WPRO,3387,34602,86,723
2020-02-09,CN,China,WPRO,2653,37255,89,812
2020-02-10,CN,China,WPRO,2985,40240,97,909
2020-02-11,CN,China,WPRO,2472,42712,108,1017
2020-02-12,CN,China,WPRO,2022,44734,97,1114
2020-02-13,CN,China,WPRO,15152,59886,254,1368
2020-02-14,CN,China,WPRO,4050,63936,13,1381
2020-02-15,CN,China,WPRO,2644,66580,143,1524
2020-02-16,CN,China,WPRO,2008,68588,142,1666
2020-02-17,CN,China,WPRO,2051,70639,106,1772
2020-02-18,CN,China,WPRO,1893,72532,98,1870
2020-02-19,CN,China,WPRO,1751,74283,136,2006
2020-02-20,CN,China,WPRO,396,74679,115,2121
2020-02-21,CN,China,WPRO,892,75571,118,2239
2020-02-22,CN,China,WPRO,825,76396,109,2348
2020-02-23,CN,China,WPRO,649,77045,97,2445
2020-02-24,CN,China,WPRO,221,77266,150,2595
2020-02-25,CN,China,WPRO,517,77783,71,2666
2020-02-26,CN,China,WPRO,411,78194,52,2718
2020-02-27,CN,China,WPRO,440,78634,29,2747
2020-02-28,CN,China,WPRO,329,78963,44,2791
2020-02-29,CN,China,WPRO,430,79393,47,2838
2020-03-01,CN,China,WPRO,579,79972,35,2873
2020-03-02,CN,China,WPRO,206,80178,42,2915
2020-03-03,CN,China,WPRO,128,80306,31,2946
2020-03-04,CN,China,WPRO,120,80426,38,2984
2020-03-05,CN,China,WPRO,143,80569,31,3015
2020-03-06,CN,China,WPRO,146,80715,30,3045
2020-03-07,CN,China,WPRO,102,80817,28,3073
